Date,Site ID,Site,Protection status,Substrate,Transect number,Transect area,Depth,Rugosity,Heading,Species code,Species name,Diet,Guild,Size,Count,aL,bL,a,b
,HUU6,Hanauma,Unprotected,Uncolonized hardbottom,6,125,8,12.19,"10, 160",DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU7,Hanauma,Unprotected,Uncolonized hardbottom,7,125,2,11.12,0,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU8,Hanauma,Unprotected,Uncolonized hardbottom,8,125,3,12.28,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HUU9,Hanauma,Unprotected,Uncolonized hardbottom,9,125,3,11.84,15,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC1,Kaneohe,Protected,Colonized hardbottom,1,125,24,13.5,280,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC10,Kaneohe,Protected,Colonized hardbottom,10,125,11,26.2,240,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC2,Kaneohe,Protected,Colonized hardbottom,2,125,16,13.9,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC3,Kaneohe,Protected,Colonized hardbottom,3,125,12,13.7,140,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC4,Kaneohe,Protected,Colonized hardbottom,4,125,12,14.4,160,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC5,Kaneohe,Protected,Colonized hardbottom,5,125,19,16.2,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC6,Kaneohe,Protected,Colonized hardbottom,6,125,4,14.6,335,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC7,Kaneohe,Protected,Colonized hardbottom,7,125,4,16.4,215,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC8,Kaneohe,Protected,Colonized hardbottom,8,125,8,23.4,310,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPC9,Kaneohe,Protected,Colonized hardbottom,9,125,11,23.3,185,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU1,Kaneohe,Protected,Uncolonized hardbottom,1,125,19,16.1,210,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU10,Kaneohe,Protected,Uncolonized hardbottom,10,125,15,22.1,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU2,Kaneohe,Protected,Uncolonized hardbottom,2,125,14,14.8,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU3,Kaneohe,Protected,Uncolonized hardbottom,3,125,4,10.6,200,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU4,Kaneohe,Protected,Uncolonized hardbottom,4,125,5,14.9,"150, 200",DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU5,Kaneohe,Protected,Uncolonized hardbottom,5,125,11,13.2,"150, 200",DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU6,Kaneohe,Protected,Uncolonized hardbottom,6,125,10,12.9,"330, 200",DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU7,Kaneohe,Protected,Uncolonized hardbottom,7,125,5,14.8,350,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU8,Kaneohe,Protected,Uncolonized hardbottom,8,125,5,11.6,75,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KPU9,Kaneohe,Protected,Uncolonized hardbottom,9,125,5,18.8,210,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC10,Kaneohe,Unprotected,Colonized hardbottom,10,125,12,14.8,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC2,Kaneohe,Unprotected,Colonized hardbottom,2,125,12,17.2,280,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC3,Kaneohe,Unprotected,Colonized hardbottom,3,125,22,20.6,330,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC4,Kaneohe,Unprotected,Colonized hardbottom,4,125,5,12.8,70,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC5,Kaneohe,Unprotected,Colonized hardbottom,5,125,12,21.2,25,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC6,Kaneohe,Unprotected,Colonized hardbottom,6,125,11,17.8,330,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC7,Kaneohe,Unprotected,Colonized hardbottom,7,125,8,20.3,220,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC8,Kaneohe,Unprotected,Colonized hardbottom,8,125,11,20,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUC9,Kaneohe,Unprotected,Colonized hardbottom,9,125,4,19.3,240,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU1,Kaneohe,Unprotected,Uncolonized hardbottom,1,125,5,12.4,350,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU10,Kaneohe,Unprotected,Uncolonized hardbottom,10,125,12,10.8,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU2,Kaneohe,Unprotected,Uncolonized hardbottom,2,125,4,11,190,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU3,Kaneohe,Unprotected,Uncolonized hardbottom,3,125,4,11.8,300,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU4,Kaneohe,Unprotected,Uncolonized hardbottom,4,125,4,12.6,280,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU5,Kaneohe,Unprotected,Uncolonized hardbottom,5,125,2,11.7,20,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU6,Kaneohe,Unprotected,Uncolonized hardbottom,6,125,16,15.3,225,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU7,Kaneohe,Unprotected,Uncolonized hardbottom,7,125,5,12.4,130,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU8,Kaneohe,Unprotected,Uncolonized hardbottom,8,125,3,12.2,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,KUU9,Kaneohe,Unprotected,Uncolonized hardbottom,9,125,4,10.2,90,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC1,North Shore,Protected,Colonized hardbottom,1,125,44,12.44,140,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC10,North Shore,Protected,Colonized hardbottom,10,125,20,13.06,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC2,North Shore,Protected,Colonized hardbottom,2,125,40,12,0,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC3,North Shore,Protected,Colonized hardbottom,3,125,25,15.12,30,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC4,North Shore,Protected,Colonized hardbottom,4,125,25,11.32,345,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC5,North Shore,Protected,Colonized hardbottom,5,125,22,14,200,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC6,North Shore,Protected,Colonized hardbottom,6,125,22,12.36,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC7,North Shore,Protected,Colonized hardbottom,7,125,19,11.43,20,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC8,North Shore,Protected,Colonized hardbottom,8,125,17,11.15,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPC9,North Shore,Protected,Colonized hardbottom,9,125,16,12.06,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU1,North Shore,Protected,Uncolonized hardbottom,1,125,5,10.22,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU10,North Shore,Protected,Uncolonized hardbottom,10,125,5,13.86,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU2,North Shore,Protected,Uncolonized hardbottom,2,125,13,14.5,100,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU3,North Shore,Protected,Uncolonized hardbottom,3,125,31,11.82,95,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU4,North Shore,Protected,Uncolonized hardbottom,4,125,20,14.7,215,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU5,North Shore,Protected,Uncolonized hardbottom,5,125,17,19,160,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU6,North Shore,Protected,Uncolonized hardbottom,6,125,8,17.66,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU7,North Shore,Protected,Uncolonized hardbottom,7,125,5,12,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU8,North Shore,Protected,Uncolonized hardbottom,8,125,18,11.06,30,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NPU9,North Shore,Protected,Uncolonized hardbottom,9,125,14,11.03,90,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC1,North Shore,Unprotected,Colonized hardbottom,1,125,37,11.6,60,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC10,North Shore,Unprotected,Colonized hardbottom,10,125,46,12.11,310,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC2,North Shore,Unprotected,Colonized hardbottom,2,125,42,14.11,270,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC3,North Shore,Unprotected,Colonized hardbottom,3,125,42,15.24,290,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC4,North Shore,Unprotected,Colonized hardbottom,4,125,49,13.07,310,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC5,North Shore,Unprotected,Colonized hardbottom,5,125,35,13.84,65,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC6,North Shore,Unprotected,Colonized hardbottom,6,125,25,14.44,15,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC7,North Shore,Unprotected,Colonized hardbottom,7,125,44,12.87,290,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC8,North Shore,Unprotected,Colonized hardbottom,8,125,45,12.18,65,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUC9,North Shore,Unprotected,Colonized hardbottom,9,125,27,14,270,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU1,North Shore,Unprotected,Uncolonized hardbottom,1,125,20,10.84,75,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU10,North Shore,Unprotected,Uncolonized hardbottom,10,125,5,10.86,270,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU2,North Shore,Unprotected,Uncolonized hardbottom,2,125,18,11.74,35,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU3,North Shore,Unprotected,Uncolonized hardbottom,3,125,10,12.36,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU4,North Shore,Unprotected,Uncolonized hardbottom,4,125,9,13.08,35,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU5,North Shore,Unprotected,Uncolonized hardbottom,5,125,6,13.4,60,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU6,North Shore,Unprotected,Uncolonized hardbottom,6,125,3,11.84,240,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU7,North Shore,Unprotected,Uncolonized hardbottom,7,125,7,16.66,210,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU8,North Shore,Unprotected,Uncolonized hardbottom,8,125,10,17.42,310,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,NUU9,North Shore,Unprotected,Uncolonized hardbottom,9,125,7,11.98,10,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU1,Waikiki,Protected,Uncolonized hardbottom,1,125,8,16.92,260,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU10,Waikiki,Protected,Uncolonized hardbottom,10,125,5,13.78,330,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU2,Waikiki,Protected,Uncolonized hardbottom,2,125,4,14.43,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU3,Waikiki,Protected,Uncolonized hardbottom,3,125,4,13.96,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU4,Waikiki,Protected,Uncolonized hardbottom,4,125,3,13.74,115,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU5,Waikiki,Protected,Uncolonized hardbottom,5,125,3,10.12,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU6,Waikiki,Protected,Uncolonized hardbottom,6,125,8,13.64,260,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU7,Waikiki,Protected,Uncolonized hardbottom,7,125,6,15.43,0,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU8,Waikiki,Protected,Uncolonized hardbottom,8,125,7,13.98,340,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WPU9,Waikiki,Protected,Uncolonized hardbottom,9,125,7,15.32,290,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC1,Waikiki,Unprotected,Colonized hardbottom,1,125,35,13.05,40,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC10,Waikiki,Unprotected,Colonized hardbottom,10,125,17,11.86,0,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC2,Waikiki,Unprotected,Colonized hardbottom,2,125,30,12.76,215,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC3,Waikiki,Unprotected,Colonized hardbottom,3,125,23,12.46,70,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC4,Waikiki,Unprotected,Colonized hardbottom,4,125,11,12.23,150,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC5,Waikiki,Unprotected,Colonized hardbottom,5,125,29,12.23,190,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC6,Waikiki,Unprotected,Colonized hardbottom,6,125,21,13.28,60,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC7,Waikiki,Unprotected,Colonized hardbottom,7,125,15,13,30,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC8,Waikiki,Unprotected,Colonized hardbottom,8,125,25,11.13,5,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUC9,Waikiki,Unprotected,Colonized hardbottom,9,125,19,12.12,15,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUU1,Waikiki,Unprotected,Uncolonized hardbottom,1,125,5,12.43,300,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUU2,Waikiki,Unprotected,Uncolonized hardbottom,2,125,3,10.46,345,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUU3,Waikiki,Unprotected,Uncolonized hardbottom,3,125,6,11,205,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUU4,Waikiki,Unprotected,Uncolonized hardbottom,4,125,11,12.23,170,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUU5,Waikiki,Unprotected,Uncolonized hardbottom,5,125,15,12.84,230,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUU6,Waikiki,Unprotected,Uncolonized hardbottom,6,125,6,11.63,15,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUUe1,Waikiki,Unprotected,Uncolonized hardbottom,7,125,3,12.83,120,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUUe2,Waikiki,Unprotected,Uncolonized hardbottom,8,125,4,13.62,180,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUUe3,Waikiki,Unprotected,Uncolonized hardbottom,9,125,3,12.56,140,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,WUUe4,Waikiki,Unprotected,Uncolonized hardbottom,10,125,3,13.92,330,DIPA,Diadema paucispinum,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
11/29/18,WUC3,Waikiki,Unprotected,Colonized hardbottom,3,50,23,12.46,70,DISA,Didadema savignyi,Urchin,Grazing urchin,4,1,0,10,0.005,2.47
11/29/18,WUC9,Waikiki,Unprotected,Colonized hardbottom,9,50,19,12.12,15,DISA,Didadema savignyi,Urchin,Grazing urchin,3,1,0,10,0.005,2.47
,HPC1,Hanauma,Protected,Colonized hardbottom,1,125,13,15.04,240,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC10,Hanauma,Protected,Colonized hardbottom,10,125,6,16.47,310,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC2,Hanauma,Protected,Colonized hardbottom,2,125,15,14.42,155,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC3,Hanauma,Protected,Colonized hardbottom,3,125,11,15.86,0,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC4,Hanauma,Protected,Colonized hardbottom,4,125,23,22.38,240,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC5,Hanauma,Protected,Colonized hardbottom,5,125,8,17.86,170,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC6,Hanauma,Protected,Colonized hardbottom,6,125,7,15.12,55,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC7,Hanauma,Protected,Colonized hardbottom,7,125,35,19.48,300,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC8,Hanauma,Protected,Colonized hardbottom,8,125,19,16.78,180,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPC9,Hanauma,Protected,Colonized hardbottom,9,125,26,19.16,90,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU1,Hanauma,Protected,Uncolonized hardbottom,1,125,3,12.66,150,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
,HPU10,Hanauma,Protected,Uncolonized hardbottom,10,125,3,13.34,180,DISA,Didadema savignyi,Urchin,Grazing urchin,0,0,0,10,0.005,2.47
